"filename", "language", "JSON with Comments", "Properties", "JavaScript", "Markdown", "Log", "JavaScript JSX", "TypeScript", "CSS", "JSON", "Prisma", "SQL", "HTML", "YAML", "comment", "blank", "total"
"d:\Workspace\own\horizon\backend\.env", "Properties", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 25
"d:\Workspace\own\horizon\backend\.eslintrc.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\Workspace\own\horizon\backend\.prettierrc", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\Workspace\own\horizon\backend\compose.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 7, 43
"d:\Workspace\own\horizon\backend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 1, 99
"d:\Workspace\own\horizon\backend\prisma\migrations\20231218080236_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 263, 0, 0, 89, 111, 463
"d:\Workspace\own\horizon\backend\prisma\migrations\20231218080343_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 1, 9
"d:\Workspace\own\horizon\backend\prisma\migrations\20231218082343_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"d:\Workspace\own\horizon\backend\prisma\migrations\20231218151707_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 6
"d:\Workspace\own\horizon\backend\prisma\migrations\20231218151812_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 6
"d:\Workspace\own\horizon\backend\prisma\migrations\20231226044001_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"d:\Workspace\own\horizon\backend\prisma\migrations\20231226154808_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 23, 13, 55
"d:\Workspace\own\horizon\backend\prisma\migrations\20231226160044_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"d:\Workspace\own\horizon\backend\prisma\migrations\20231226185125_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"d:\Workspace\own\horizon\backend\prisma\migrations\20231228032550_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"d:\Workspace\own\horizon\backend\prisma\migrations\20231228032936_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 6
"d:\Workspace\own\horizon\backend\prisma\migrations\20231228050722_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 8, 2, 13
"d:\Workspace\own\horizon\backend\prisma\migrations\20231228164910_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 7, 1, 10
"d:\Workspace\own\horizon\backend\prisma\migrations\20240102095942_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 3, 14
"d:\Workspace\own\horizon\backend\prisma\migrations\20240103174229_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"d:\Workspace\own\horizon\backend\prisma\migrations\20240104124214_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 4, 15
"d:\Workspace\own\horizon\backend\prisma\migrations\20240105082958_\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"d:\Workspace\own\horizon\backend\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 345, 0, 0, 0, 8, 91, 444
"d:\Workspace\own\horizon\backend\src\configs\client_secret_466643461195-4kft3d9baa6dvck6ikacs6ftrdunqdch.apps.googleusercontent.com.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
